State / Union Territory,Beds per mn
Andaman and Nicobar Islands,6356.071375
Andhra Pradesh,1765.472258
Arunachal Pradesh,3859.142736
Assam,1279.35469
Bihar,337.5618154
Chandigarh,4388.649391
Chhattisgarh,1018.82162
Dadra and Nagar Haveli and Daman and Diu,2038.363573
Delhi,33.29771054
Goa,31739.85033
Gujarat,95.9799729
Haryana,3091.222116
Himachal Pradesh,3949.974084
Jammu and Kashmir,1895.160948
Jharkhand,750.6032321
Karnataka,325.0495697
Kerala,4048.03787
Ladakh,297040.146
Lakshadweep,8980.503467
Madhya Pradesh,979.8585533
Maharashtra,1135.784272
Manipur,1652.278448
Meghalaya,3221.89337
Mizoram,4167.859089
Nagaland,2118.774709
Odisha,962.9244314
Puducherry,6531.495978
Punjab,1212.038724
Rajasthan,1323.472919
Sikkim,4589.101784
Tamil Nadu,2169.555698
Telengana,1173.248271
Tripura,2662.281157
Uttar Pradesh,737.937403
Uttarakhand,1625.770898
West Bengal,1480.179125
